avg_nom,avg_human,avg_harm,avg_cleanplan
0.515,44.180,30.349,56.719
0.223,51.556,34.830,65.403
-0.301,58.856,46.026,63.564
0.131,53.224,39.372,63.407
0.380,52.476,37.790,62.222
-0.132,52.614,41.281,65.374
-0.068,52.717,35.739,66.941
-0.254,53.709,34.985,67.072
0.163,51.607,37.102,63.606
-0.404,55.757,43.438,66.739
0.414,55.200,36.727,66.284
-0.405,66.852,53.144,69.441
0.329,53.624,36.591,65.230
0.211,52.813,36.249,62.507
-0.425,55.347,41.204,67.575
-0.382,55.347,41.204,67.575
0.211,53.248,38.126,66.977
0.292,54.790,37.552,65.481
-0.367,60.207,46.826,67.649
-0.568,60.704,43.849,68.066
-0.514,62.805,53.682,72.900
0.472,52.869,41.770,62.086
-0.368,54.228,41.564,63.755
-0.313,59.188,45.091,64.878
-0.548,68.028,56.884,73.035
-0.465,54.421,37.502,66.732
-0.406,54.421,37.502,66.732
-0.408,61.659,50.059,71.086
-0.389,56.474,42.470,66.333
-0.291,54.955,39.258,66.400
0.145,54.618,37.235,65.484
-0.346,54.933,39.386,67.969
-0.614,64.198,51.993,72.146
-0.422,56.416,37.888,66.568
0.073,53.546,35.944,62.058
0.086,53.433,34.924,63.466
0.282,51.040,35.699,63.027
0.224,56.680,44.320,65.448
0.213,54.448,36.187,66.189
0.235,50.001,34.829,64.642
-0.378,62.303,49.655,71.476
-0.485,62.112,54.139,71.053
-0.237,55.952,39.387,65.936
0.358,47.991,32.377,58.863
-0.491,65.274,59.586,70.429
0.261,54.595,39.471,63.174
-0.508,67.390,47.759,72.677
-0.547,66.523,53.576,72.010
-0.387,69.183,46.755,75.501
-0.289,54.445,41.963,65.029
-0.413,62.526,55.632,71.762
-0.412,63.130,52.446,71.355
0.602,47.008,34.580,60.002
-0.343,60.569,44.853,69.482
-0.403,54.144,43.045,66.273
0.631,48.854,34.282,59.330
0.556,48.381,34.577,60.946
0.476,49.505,36.768,60.092
0.584,46.675,36.061,59.884
0.561,50.180,36.335,63.180
0.600,50.535,34.376,60.739
0.635,50.791,37.216,63.651
-0.467,58.503,47.085,67.865
-0.487,58.503,47.085,67.865
0.244,48.726,36.096,59.679
0.334,47.158,36.249,60.839
0.392,44.004,29.138,57.659
-0.350,55.537,36.893,64.689
0.386,51.900,33.325,63.327
0.407,51.900,33.325,63.327
0.268,50.611,35.411,62.097
-0.403,52.691,35.137,64.678
0.718,46.895,32.540,58.010
0.519,49.258,32.473,60.617
-0.579,56.989,44.585,68.389
0.432,45.934,30.022,55.302
0.297,52.066,33.773,61.786
0.387,50.174,32.731,61.901
0.474,47.119,32.289,58.597
0.551,48.977,32.319,59.646
-0.428,59.088,42.114,68.280
0.262,48.641,32.213,62.656
0.647,46.531,33.017,59.229
0.647,46.531,33.017,59.229
0.580,46.531,33.017,59.229
0.580,46.531,33.017,59.229
0.575,51.722,36.411,60.860
0.333,47.368,32.921,59.239
0.510,52.609,36.948,60.761
0.689,48.909,34.731,58.691
0.687,48.909,34.731,58.691
0.513,44.837,32.746,57.957
0.362,46.089,33.106,59.442
-0.429,53.309,37.225,64.364
-0.192,51.391,37.463,62.576
-0.392,57.456,39.194,65.366
-0.427,64.116,44.966,70.658
0.333,47.939,34.083,61.309
0.374,45.064,30.795,54.659
0.218,53.068,35.643,63.594
0.258,49.321,32.995,60.457
0.138,49.321,32.995,60.457
0.196,52.933,34.622,64.323
-0.380,56.962,41.521,64.925
0.244,51.707,33.923,60.002
0.019,51.707,33.923,60.002
0.308,48.676,33.705,60.520
0.336,49.140,33.984,60.545
0.220,52.942,36.770,61.754
-0.005,52.942,36.770,61.754
0.352,48.324,34.302,59.536
0.278,48.952,33.021,62.395
0.628,48.223,33.925,62.080
0.498,45.007,31.528,57.212
-0.371,52.910,36.605,62.262
-0.457,64.058,52.745,71.568
-0.457,64.058,52.745,71.568
-0.465,64.058,52.745,71.568
-0.465,64.058,52.745,71.568
-0.330,59.174,40.674,68.693
0.496,50.245,36.698,60.363
-0.484,63.085,49.614,68.776
-0.376,56.402,38.013,66.407
-0.390,57.809,40.886,67.086
0.539,50.047,34.951,62.505
0.728,46.531,33.859,60.898
0.655,48.039,34.950,61.265
0.750,47.297,35.662,59.878
0.760,47.297,35.662,59.878
0.600,45.790,35.310,60.959
0.686,48.233,36.478,62.536
-0.464,50.437,42.961,66.215
0.398,47.195,32.874,61.800
-0.162,53.404,39.549,64.601
0.604,48.713,32.172,58.613
0.615,45.891,31.942,58.441
-0.400,55.395,46.456,68.120
0.486,46.222,31.979,56.919
0.454,49.735,33.437,59.462
0.576,46.748,32.452,58.703
0.580,45.141,31.582,55.183
0.531,45.588,32.402,58.700
0.528,49.279,38.195,63.277
0.425,53.327,38.067,63.917
0.503,55.614,41.538,64.329
0.703,49.541,38.199,60.120
0.626,47.234,35.763,56.159
0.577,52.291,35.612,61.887
0.472,51.589,38.769,63.184
0.620,41.983,33.039,58.279
0.594,52.872,38.681,61.552
-0.437,60.261,50.265,69.088
0.441,52.312,38.287,62.194
0.591,46.627,35.017,56.918
0.602,53.431,38.491,63.088
-0.226,57.325,48.164,61.873
0.548,50.031,38.608,59.049
0.573,48.053,36.975,61.747
0.548,53.030,40.868,61.896
0.578,53.030,40.868,61.896
0.701,46.652,37.394,59.351
-0.304,60.510,51.451,67.553
-0.396,57.960,48.041,65.080
0.128,57.481,45.266,64.670
0.591,52.739,37.710,64.372
-0.403,60.707,50.135,67.126
-0.312,56.416,47.823,64.034
0.610,52.865,36.931,62.128
0.758,44.150,32.698,55.882
-0.403,59.544,48.638,66.320
0.525,44.157,33.487,56.686
-0.459,59.162,51.480,67.154
0.585,55.316,41.272,64.755
0.522,45.440,34.191,58.485
0.396,46.874,35.416,58.708
-0.350,58.361,47.113,63.148
-0.324,59.701,51.044,66.199
-0.485,58.605,49.731,67.337
0.611,44.412,32.366,58.428
0.323,50.417,36.216,58.737
0.537,46.136,33.446,56.977
0.647,45.183,31.894,56.927
0.617,45.183,31.894,56.927
0.528,48.863,34.079,58.014
-0.409,56.043,38.578,66.672
0.279,53.526,38.016,64.309
0.140,50.259,39.329,63.247
0.725,50.638,35.908,62.620
0.443,52.717,37.304,62.377
-0.307,57.217,43.685,65.707
0.422,53.450,38.398,62.691
0.689,49.265,35.974,59.581
0.552,47.660,32.484,59.427
0.829,50.638,35.908,62.620
-0.358,65.616,47.999,71.621
-0.451,57.145,45.895,67.693
0.496,49.022,34.991,61.129
-0.674,67.185,45.950,73.208
-0.364,57.912,39.518,66.432
0.426,49.571,35.666,62.549
0.224,52.977,36.767,63.697
0.368,50.122,35.964,61.683
-0.308,52.416,37.387,61.644
-0.310,52.854,38.457,66.121
0.370,50.613,36.692,60.133
-0.284,62.008,45.602,68.999
-0.280,55.844,38.605,66.647
0.108,44.591,31.661,55.484
0.471,47.190,32.089,57.379
0.299,43.391,30.501,54.741
0.642,49.092,31.906,58.849
0.541,49.606,31.242,61.717
-0.530,59.623,46.224,68.838
0.512,51.003,34.523,61.336
0.551,47.997,32.603,60.473
-0.542,60.299,38.743,67.836
-0.262,52.713,34.384,63.001
0.556,49.956,34.074,61.181
0.617,42.182,29.457,53.537
